,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
0,albany,6.64,-73.9662,42.6001,0,1.63,62
1,keflavik,-0.76,-22.5624,64.0049,40,4.12,80
2,port-aux-francais,3.93,70.2167,-49.35,91,16.42,64
3,pisco,20.03,-76.2167,-13.7,0,2.57,88
4,houma,22.39,-90.7195,29.5958,40,4.12,84
5,barra de santo antonio,24.6,-35.5072,-9.4047,100,3.0,87
6,bengkulu,30.27,102.2655,-3.8004,18,1.04,66
7,tazovsky,-8.98,78.7,67.4667,100,7.62,94
8,bethel,13.39,-73.414,41.3712,20,5.66,48
9,touros,26.46,-35.4608,-5.1989,81,3.61,89
10,vilyuchinsk,1.08,158.4028,52.9306,100,2.68,99
11,camana,21.17,-72.7111,-16.6228,99,5.09,90
12,waitangi,12.68,-176.5597,-43.9535,96,2.24,74
13,labytnangi,-1.46,66.4183,66.6572,100,5.16,97
14,enewetak,27.62,162.3373,11.3474,37,7.18,79
15,kapuskasing,2.0,-82.4331,49.4169,100,3.6,64
16,masaka,17.38,31.7341,-0.3338,100,2.51,92
17,longyearbyen,-13.09,15.6401,78.2186,75,3.6,78
18,agat village,29.87,144.6585,13.3886,100,5.66,76
19,margaret river,23.99,115.0667,-33.95,0,0.56,47
20,winnemucca,11.03,-117.7357,40.973,75,2.06,62
21,korsakov,19.91,142.7813,46.6328,98,2.56,58
22,invercargill,12.23,168.35,-46.4,94,1.34,86
23,nova sintra,19.64,-24.7167,14.8667,1,6.9,85
24,grytviken,0.89,-36.5092,-54.2811,15,6.4,80
25,ancud,12.56,-73.8203,-41.8697,100,4.71,92
26,puerto ayora,24.84,-90.3518,-0.7393,83,1.78,87
27,avarua,27.03,-159.775,-21.2078,9,6.17,74
28,nieuw amsterdam,26.09,-55.0833,5.8833,69,3.9,91
29,nar'yan-mar,-7.72,53.087,67.6713,100,7.15,95
30,hassi messaoud,14.92,6.0729,31.6804,40,1.03,94
31,salinopolis,26.85,-47.3561,-0.6136,100,4.6,86
32,constantia,15.38,28.65,44.1833,65,4.49,69
33,edinburgh of the seven seas,15.64,-12.3116,-37.0676,100,12.17,73
34,pader palwo,19.3,33.135,2.8006,100,1.82,96
35,happy valley-goose bay,3.17,-60.3315,53.3168,40,1.03,70
36,rosarito,14.88,-117.0333,32.3333,0,4.12,73
37,dosso,27.72,3.1937,13.049,11,4.39,15
38,ar ruways,25.19,52.7306,24.1103,9,11.79,79
39,gaspe,1.12,-64.4819,48.8334,20,1.54,93
40,pithapuram,32.63,82.2667,17.1167,3,2.86,47
41,acarau,26.06,-40.12,-2.8856,23,3.01,87
42,ilulissat,-10.99,-51.1,69.2167,3,1.54,62
43,port mathurin,26.82,63.4167,-19.6833,44,6.38,75
44,kodiak,3.73,-152.4072,57.79,100,8.23,70
45,yellowknife,0.29,-114.3525,62.456,20,2.57,55
46,tiksi,-2.16,128.8694,71.6872,100,7.09,80
47,vorgashor,-1.78,63.95,67.5833,100,5.79,95
48,ceeldheer,27.98,47.1806,3.8488,100,4.65,82
49,castillos,22.16,-53.8333,-34.1667,100,5.15,98
50,isafjordur,-2.0,-23.124,66.0755,100,3.37,87
51,adamstown,22.2,-130.1015,-25.066,54,10.67,69
52,hasaki,22.22,140.8333,35.7333,100,8.69,66
53,katsuren-haebaru,25.63,127.8719,26.3369,100,4.12,82
54,cabedelo,26.37,-34.8339,-6.9811,63,3.93,87
55,ghat,18.24,10.1728,24.9647,0,3.66,28
56,puerto natales,7.59,-72.4875,-51.7236,99,1.06,90
57,kruisfontein,19.38,24.7314,-34.0033,26,1.99,97
58,piacabucu,26.01,-36.4344,-10.4056,32,3.13,88
59,mianyang,22.43,104.7542,31.4593,100,3.06,63
60,saynshand,15.57,110.1163,44.8824,91,6.52,17
61,san patricio,23.57,-97.5169,28.017,100,8.03,88
62,kourou,28.03,-52.6478,5.1552,99,4.6,89
63,saurimo,18.82,20.3916,-9.6608,67,1.86,98
64,muroto-misakicho,17.64,134.15,33.2833,100,5.3,96
65,hammerfest,-1.75,23.6821,70.6634,100,5.66,86
66,mogadishu,29.01,45.3438,2.0371,51,7.34,79
67,bilibino,-15.34,166.4372,68.0546,100,2.19,77
68,fale old settlement,27.81,-171.2468,-9.3852,100,3.67,80
69,nova vicosa,25.65,-39.3719,-17.8919,25,5.43,76
70,ballina,27.66,153.5667,-28.8667,82,4.17,58
71,st. john's,6.24,-52.7093,47.5649,75,10.29,87
72,blackmans bay,15.38,147.3167,-43.0167,93,0.45,55
73,new norfolk,15.98,147.0587,-42.7826,100,1.93,51
74,thompson,3.09,-97.8558,55.7435,75,2.06,65
75,anna regina,26.81,-58.5077,7.2644,69,5.22,79
76,afaahiti,27.93,-149.2833,-17.75,100,8.53,82
77,tommot,-0.79,126.2925,58.9564,99,0.52,90
78,codrington,13.96,141.9667,-38.2667,100,3.58,87
79,udachny,-0.86,112.4,66.4167,100,2.09,98
80,anaconda,9.55,-112.9423,46.1285,96,2.43,72
81,hawaiian paradise park,24.3,-154.9731,19.5933,100,3.09,89
82,saint-pierre,23.82,55.4781,-21.3393,100,5.66,88
83,an nuhud,23.33,28.4333,12.7,31,7.07,15
84,guajara mirim,23.4,-65.3394,-10.7828,100,1.04,97
85,san antonio de pale,27.74,5.6325,-1.4014,99,3.89,82
86,alofi,29.94,-169.9187,-19.0595,20,4.63,70
87,iqaluit,-14.67,-68.5145,63.7506,74,3.85,79
88,key west,23.26,-81.7826,24.5557,0,7.2,69
89,whitehorse,5.43,-135.0538,60.7161,0,4.63,28
90,olonkinbyen,-1.43,-8.7187,70.9221,50,7.0,73
91,kangding,17.89,101.9603,30.0513,97,0.57,48
